Wall time,Step,Value
1697073136.2967443,216138,2.7931006840731243e-08
1697073171.8289387,217117,2.3828871320574763e-08
1697073176.1954055,217240,3.6056754026958515e-08
1697073177.7512772,217284,2.7078829845095242e-08
1697073183.533953,217440,3.39911068181209e-08
1697073187.3316286,217545,3.296124617691021e-08
1697073192.5637877,217691,4.4465274129379395e-08
1697073195.2634778,217766,2.757834671740511e-08
1697073231.7702663,218772,3.8568686022699694e-08
1697073236.5563362,218905,2.5049347485150975e-08
1697073253.7447553,219379,3.461842013052774e-08
1697073254.2826562,219392,2.1179683784566805e-08
1697073261.5220714,219595,3.333011378003903e-08
1697073266.6196344,219737,2.5448477103395817e-08
1697073273.7556686,219930,2.946159938232995e-08
1697073275.7980716,219984,2.988810265946995e-08
1697073275.9660873,219989,2.477094795949597e-08
1697073280.6520023,220123,4.0964273750887514e-08
1697073297.856255,220488,6.632730276123766e-08
1697073300.4048696,220559,3.2709234432104495e-08
1697073342.8294997,221723,3.6713515783048933e-08
1697073346.3913717,221824,2.6576941536404775e-08
1697073356.523083,222103,2.8728031509217544e-08
1697073363.5344453,222291,3.0403445094862036e-08
1697073373.6208966,222571,3.988738939142422e-08
1697073385.6551008,222903,3.827683414669991e-08
1697073389.7283297,223014,2.9484223063036552e-08
1697073416.9368868,223770,3.648517221677139e-08
1697073435.608154,224275,2.2758348094953362e-08
1697073448.5580084,224630,2.5692472149785317e-08
1697073450.2649064,224678,3.56388341060665e-08
1697073452.5026724,224737,3.0497751879465795e-08
1697073460.07059,224941,3.463230768829817e-08
1697073463.450483,225034,4.869218628300587e-08
1697073492.4007883,225827,2.776770102741466e-08
1697073496.784548,225943,2.257480780087917e-08
1697073536.1324258,227033,3.8157608628353046e-08
1697073540.293635,227149,3.3048124237211596e-08
1697073549.7849746,227412,3.200882758847001e-08
1697073551.7468245,227465,3.834560757809413e-08
1697073559.6211698,227677,3.281502358731814e-08
1697073567.9884715,227909,2.569385060269269e-08
1697073583.8293996,228344,1.8673979695904563e-08
1697073602.3586583,228860,2.5781442758443518e-08
1697073614.197747,229184,3.27441753711355e-08
1697073617.2599537,229270,3.84735976410866e-08
1697073645.0372276,230038,3.0978277720805636e-08
1697073659.8504426,230450,2.9635794263072057e-08
1697073665.9256413,230617,2.7627084620007736e-08
1697073692.6558316,231354,3.105080281784467e-08
1697073697.9384694,231494,2.3985375463553282e-08
1697073726.4302223,232280,3.009255422625756e-08
1697073746.9390125,232849,3.3170245217206684e-08
1697073758.04103,233158,3.2387816872869735e-08
1697073759.4877548,233199,4.437583811522927e-08
1697073779.4961367,233747,3.2866864785319194e-08
1697073790.0628004,234040,3.1557494395428876e-08
1697073804.0039887,234419,3.91554664247451e-08
1697073822.5005114,234928,2.910950236412191e-08
1697073824.784453,234992,2.651670705233755e-08
1697073825.131954,235002,2.310501123758968e-08
1697073843.043432,235490,3.982988516781916e-08
1697073851.9032934,235735,5.166761241071072e-08
